Edge ID,Capacity (vehicles/hour)
:10209018581_1,20.0
:10209018590_0,20.0
:10209018590_1,20.0
:10210571064_0,20.0
:10210571064_1,20.0
:10212899065_0,36.666666666666664
:10212899065_1,110.0
:10212899069_0,20.0
:10212899069_1,20.0
:10212899069_4,20.0
:10212899069_2,20.0
:10212899069_3,20.0
:10212899069_5,20.0
:10212899086_0,30.0
:10212899086_1,20.0
:10212899086_2,20.0
:10212899086_3,20.0
:10212899092_0,20.0
:10212899092_1,20.0
:10212899092_2,20.0
:10212899092_3,20.0
:10213321201_0,73.33333333333333
:10218773643_0,36.666666666666664
:10218827499_0,20.0
:10218827499_1,20.0
:10218827499_2,20.0
:10218827499_9,20.0
:10218827499_10,20.0
:10218827499_3,20.0
:10218827499_4,20.0
:10218827499_5,20.0
:10218827499_6,20.0
:10218827499_7,20.0
:10218827499_8,20.0
:10218827499_11,20.0
:10218827505_0,20.0
:10218827505_1,20.0
:10218827505_2,20.0
:10218827505_3,20.0
:10218827512_0,20.0
:10218827512_1,20.0
:10218856663_0,20.0
:10218856663_1,20.0
:10218856663_2,20.0
:10218856663_3,110.0
:10218856665_0,20.0
:10218856665_1,20.0
:10218907257_0,20.0
:10218907258_0,20.0
:10218907262_0,20.0
:10218907263_0,20.0
:10218907267_0,20.0
:10218907267_1,20.0
:10218907268_0,20.0
:10218907268_1,20.0
:10218907286_0,73.33333333333333
:10218907287_0,73.33333333333333
:10218907288_0,73.33333333333333
:10218907289_0,30.0
:10218907289_1,73.33333333333333
:10218907289_3,20.0
:10218907289_10,20.0
:10218907289_4,30.0
:10218907289_5,36.666666666666664
:10218907289_6,20.0
:10218907289_7,20.0
:10218907289_8,30.0
:10218907289_9,20.0
:10218907289_11,20.0
:10218907291_0,73.33333333333333
:10218907292_0,20.0
:10218907292_1,73.33333333333333
:10218907292_3,20.0
:10218907292_4,20.0
:10218907292_5,20.0
:10218907292_6,20.0
:10218907292_7,20.0
:10218907292_8,20.0
:10218907292_9,20.0
:10218907293_0,73.33333333333333
:10218907293_2,36.666666666666664
:10218907294_0,20.0
:10218907294_1,73.33333333333333
:10218907294_3,20.0
:10218907294_4,20.0
:10218907294_5,20.0
:10218907294_6,20.0
:10218907294_7,20.0
:10218907294_8,20.0
:10218907294_9,20.0
:10218907300_0,73.33333333333333
:10218907301_0,20.0
:10218907301_1,73.33333333333333
:10218907301_3,20.0
:10218907301_4,20.0
:10218907303_0,73.33333333333333
:10218907305_0,20.0
:10218907305_1,20.0
:10218907305_2,20.0
:10218907305_3,20.0
:10218907305_4,73.33333333333333
:10218907305_6,20.0
:10218907305_7,20.0
:10218907305_8,20.0
:10218907305_9,20.0
:10218907306_0,20.0
:10218907306_1,20.0
:10218907306_2,20.0
:10218907306_3,20.0
:10218907306_4,73.33333333333333
:10218907306_6,20.0
:10218907306_7,20.0
:10218907306_8,20.0
:10218907306_9,20.0
:10218907307_0,20.0
:10218907307_1,73.33333333333333
:10218907307_3,20.0
:10218907307_4,20.0
:10218907308_0,73.33333333333333
:10218907309_0,73.33333333333333
:10218907310_0,20.0
:10218907310_1,20.0
:10218907310_2,20.0
:10218907310_3,20.0
:10218907310_4,20.0
:10218907310_5,20.0
:10218907310_6,20.0
:10218907310_7,73.33333333333333
:10218907310_9,20.0
:10218907311_0,73.33333333333333
:10218907313_0,73.33333333333333
:10218907314_0,73.33333333333333
:10218907315_0,20.0
:10218907315_1,73.33333333333333
:10218907315_3,73.33333333333333
:10218907315_5,20.0
:10218907315_6,20.0
:10218907316_0,20.0
:10218907316_1,73.33333333333333
:10218908517_0,20.0
:10218908517_1,73.33333333333333
:10218908518_0,20.0
:10218908518_1,73.33333333333333
:10218908518_3,73.33333333333333
:10218908518_5,20.0
:10218908518_6,20.0
:10218908519_0,73.33333333333333
:10218908520_0,73.33333333333333
:10218908521_0,20.0
:10218908521_1,30.0
:10218908521_2,73.33333333333333
:10218908521_4,20.0
:10218908523_0,73.33333333333333
:10218908524_0,73.33333333333333
:10218908525_0,73.33333333333333
:10218908527_0,20.0
:10218908527_1,36.666666666666664
:10218908527_2,73.33333333333333
:10218908527_4,20.0
:10218908528_0,73.33333333333333
:10218908529_0,73.33333333333333
:10218908530_0,73.33333333333333
:10218908531_0,73.33333333333333
:10218931003_0,20.0
:10236539910_0,73.33333333333333
:10236539910_2,40.0
:10236716090_0,30.0
:10236716090_1,110.0
:10239457147_0,20.0
:10239457147_1,20.0
:10243439703_0,20.0
:10243439703_1,30.0
:10243439703_2,36.666666666666664
:10243439703_3,20.0
:10243439703_4,20.0
:10243439703_5,20.0
:10243439712_0,110.0
:10243439712_3,20.0
:10243439713_0,20.0
:10243439713_1,90.0
:10243439713_4,20.0
:10243439713_5,20.0
:10243439713_6,73.33333333333333
:10243439713_8,40.0
:10243439720_0,20.0
:10243439720_1,30.0
:10243439720_2,20.0
:10243439720_3,20.0
:10243439720_4,20.0
:10243439720_5,36.666666666666664
:10243439720_6,20.0
:10243439720_7,20.0
:10243439720_18,20.0
:10243439720_19,20.0
:10243439720_8,20.0
:10243439720_9,30.0
:10243439720_10,20.0
:10243439720_11,20.0
:10243439720_12,20.0
:10243439720_13,20.0
:10243439720_14,110.0
:10243439720_17,20.0
:10243439720_20,20.0
:10243439722_0,20.0
:10243439722_1,73.33333333333333
:10243439725_0,73.33333333333333
:10243439725_2,73.33333333333333
:10243439728_0,20.0
:10243439728_1,20.0
:10243439728_2,20.0
:10243439728_3,20.0
:10243439728_4,73.33333333333333
:10243439728_6,20.0
:10243439728_7,20.0
:10243439728_8,20.0
:10243439728_9,20.0
:10243439729_0,20.0
:10243439729_1,73.33333333333333
:10243439729_3,20.0
:10243439729_4,20.0
:10243439730_0,20.0
:10243439730_1,73.33333333333333
:10243439730_3,20.0
:10243439730_4,20.0
:10243439730_5,20.0
:10243439730_6,20.0
:10243439730_7,20.0
:10243439730_8,20.0
:10243439730_9,20.0
:10243439731_0,20.0
:10243439731_1,73.33333333333333
:10243439731_3,20.0
:10243439731_4,20.0
:10243439731_5,20.0
:10243439731_6,20.0
:10243439731_7,20.0
:10243439731_8,20.0
:10243439731_9,20.0
:10243439732_0,20.0
:10243439732_1,73.33333333333333
:10243439732_3,20.0
:10243439732_4,36.666666666666664
:10243439732_5,20.0
:10243439732_6,20.0
:10243439732_7,20.0
:10243439732_8,36.666666666666664
:10243439732_9,20.0
:10243439736_0,20.0
:10243439736_1,30.0
:10243439736_2,20.0
:10243439736_3,20.0
:10243439736_4,73.33333333333333
:10243439736_6,20.0
:10243439736_7,30.0
:10243439736_8,20.0
:10243439736_9,20.0
:10243439772_0,20.0
:10243439772_1,20.0
:10243439772_2,73.33333333333333
:10243439772_4,20.0
:10243439773_0,20.0
:10243439773_1,73.33333333333333
:10243439773_3,20.0
:10243439773_4,20.0
:10243439790_0,36.666666666666664
:10243439790_1,73.33333333333333
:10243439793_0,30.0
:10243439793_1,30.0
:10243439834_0,20.0
:10243439834_1,20.0
:10243439834_2,20.0
:10248130239_0,20.0
:10248130239_1,20.0
:10248130239_2,20.0
:10248130239_9,20.0
:10248130239_3,20.0
:10248130239_4,20.0
:10248130239_5,20.0
:10248130239_10,20.0
